course_field,course_code
Information Technology,630105
Information Technology,630110
Information Technology,630115
Information Technology,181033
Information Technology,724012
Information Technology,724016
Information Technology,724020
Information Technology,724022
Information Technology,720144
Information Technology,720146
Information Technology,720148
Information Technology,724025
Information Technology,724026
Information Technology,724027
Information Technology,724100
Information Technology,724105
Information Technology,724110
Information Technology,724115
Information Technology,724120
Information Technology,724130
Information Technology,424500
Information Technology,724008
Information Technology,724009
Information Technology,603215
Information Technology,424640
Information Technology,720150
Information Technology,720151
Information Technology,720152
Information Technology,603221
Information Technology,724138
Information Technology,724139
Information Technology,103708
Information Technology,W10030
Information Technology,283428
Information Technology,283816
Information Technology,550108
Information Technology,366043
Information Technology,136063
Information Technology,590370
Information Technology,160060
Information Technology,160061
Information Technology,300540
Information Technology,483000
Information Technology,187410
Information Technology,196110
Information Technology,197410
Information Technology,332130
Information Technology,332161
Information Technology,603201
Information Technology,754300
Information Technology,754305
Information Technology,103725
Information Technology,603200
Information Technology,160170
Information Technology,160171
Information Technology,603210
Information Technology,754310
Information Technology,212730
Information Technology,212737
Information Technology,302583
Information Technology,603220
Information Technology,609565
Information Technology,609230
Information Technology,283626
Information Technology,483050
Information Technology,103712
Information Technology,283463
Information Technology,302569
Information Technology,570130
Information Technology,425810
Information Technology,425801
Information Technology,283620
Information Technology,366103
Information Technology,551371
Information Technology,551370
Information Technology,366123
Information Technology,754550
Information Technology,729458
Information Technology,729460
Information Technology,729665
Information Technology,729666
Information Technology,109960
Information Technology,109961
Information Technology,489832
Information Technology,550180
Information Technology,591141
Information Technology,301040
Information Technology,160062
Information Technology,160063
Information Technology,550109
Information Technology,360010
Information Technology,301006
Information Technology,640050
Information Technology,759600
Information Technology,759605
Information Technology,332065
Information Technology,759010
Information Technology,759015
Information Technology,283474
Information Technology,283822
Information Technology,591080
Information Technology,593010
Information Technology,425970
Information Technology,212030
Information Technology,212037
Information Technology,301205
Information Technology,301207
Information Technology,759575
Information Technology,759580
Management and Commerce,CRS1400275
Management and Commerce,361209
Management and Commerce,133503
Management and Commerce,590701
Management and Commerce,160020
Management and Commerce,160021
Management and Commerce,395664
Management and Commerce,395665
Management and Commerce,721070
Management and Commerce,721072
Management and Commerce,721074
Management and Commerce,721077
Management and Commerce,212010
Management and Commerce,212011
Management and Commerce,212014
Management and Commerce,212017
Management and Commerce,181032
Management and Commerce,196105
Management and Commerce,601010
Management and Commerce,650240
Management and Commerce,103710
Management and Commerce,160360
Management and Commerce,160361
Management and Commerce,590721
Management and Commerce,424300
Management and Commerce,134403
Management and Commerce,300239
Management and Commerce,424620
Management and Commerce,300238
Management and Commerce,283143
Management and Commerce,283808
Management and Commerce,395700
Management and Commerce,395701
Management and Commerce,395668
Management and Commerce,395669
Management and Commerce,215024
Management and Commerce,393678
Management and Commerce,393679
Management and Commerce,135801
Management and Commerce,300202
Management and Commerce,302239
Management and Commerce,302203
Management and Commerce,283805
Management and Commerce,302208
Management and Commerce,302251
Management and Commerce,103303
Management and Commerce,361533
Management and Commerce,429520
Management and Commerce,W10020
Management and Commerce,283142
Management and Commerce,283807
Management and Commerce,530016
Management and Commerce,530017
Management and Commerce,550010
Management and Commerce,450010
Management and Commerce,590481
Management and Commerce,160730
Management and Commerce,160731
Management and Commerce,395676
Management and Commerce,395677
Management and Commerce,721005
Management and Commerce,721006
Management and Commerce,721007
Management and Commerce,721008
Management and Commerce,482200
Management and Commerce,482210
Management and Commerce,181031
Management and Commerce,187426
Management and Commerce,196000
Management and Commerce,570110
Management and Commerce,601030
Management and Commerce,601035
Management and Commerce,751237
Management and Commerce,751238
Management and Commerce,751239
Management and Commerce,751240
Management and Commerce,751241
